id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
83866,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,1,"""EFE News Service,2013-04-18,Gunmen kill 4 in northern Mexico""",EFE News Service,2013-04-18,Gunmen kill 4 in northern Mexico,Efe reporter ,1,Monterrey town,,Nuevo León state,Monterrey municipality,25.675065,-100.318465,POINT (-100.318465 25.675065),166480,Mexico,70,Americas,1,1,04/18/2013 00:00:00,04/18/2013 00:00:00,0,0,0,1,1,1,1,
83867,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,3,"""EFE News Service,2013-04-18,Gunmen kill 4 in northern Mexico"";""Borderland Beat,2013-04-16,9 found dead in Nuevo Leon "";""dpa Servicio Internacional en Español,2013-04-17,Hallan 10 cuerpos en fosa común en norte de México""",EFE News Service;Borderland Beat;dpa Servicio Internacional en Español,2013-04-18;2013-04-16;2013-04-17,Gunmen kill 4 in northern Mexico;9 found dead in Nuevo Leon ;Hallan 10 cuerpos en fosa común en norte de México,attorney general ,1,Juárez town,,Nuevo León state,Juárez municipality,25.647240,-100.095820,POINT (-100.095820 25.647240),166480,Mexico,70,Americas,1,1,04/14/2013 00:00:00,04/14/2013 00:00:00,0,0,0,10,10,10,10,
83872,,2013,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,2,"""EFE News Service,2013-04-23,6 Bodies found in northern Mexico"";""Borderland Beat,2013-04-26,Zacatecas: Dismembered Body With NarcoMessage as Z's Answer CDG""",EFE News Service;Borderland Beat,2013-04-23;2013-04-26,6 Bodies found in northern Mexico;Zacatecas: Dismembered Body With NarcoMessage as Z's Answer CDG,Zacatecas state government ,1,Félix U. Gómez village,,Zacatecas state,General Enrique Estrada municipality,23.045790,-102.772380,POINT (-102.772380 23.045790),162875,Mexico,70,Americas,1,1,04/23/2013 00:00:00,04/23/2013 00:00:00,0,0,0,6,6,6,6,
83873,,2013,False,Clear,3,1088,629,Los Zetas - Civilians,1088,1096,Los Zetas - Civilians,1088,1088,Los Zetas,9999,1,Civilians,2,"""EFE News Service,2013-04-25,Photojournalist's mutilated body found in northern Mexico"";""Associated Press Newswires,2013-04-26,Newspaper photographer and another young man found dead, mutilated in northern Mexico""",EFE News Service;Associated Press Newswires,2013-04-25;2013-04-26,"Photojournalist's mutilated body found in northern Mexico;Newspaper photographer and another young man found dead, mutilated in northern Mexico",Coahuila state Attorney General's Office ,1,Saltillo town,,Coahuila state,Saltillo municipality,25.419418,-101.001278,POINT (-101.001278 25.419418),165758,Mexico,70,Americas,1,2,04/23/2013 00:00:00,04/24/2013 00:00:00,0,0,1,1,2,2,2,
83875,,2013,True,Clear,2,12712,11949,Gulf Cartel - Ramirez Treviño faction - Gulf Cartel - Villareal faction,12712,12712,Gulf Cartel - Ramirez Treviño faction - Gulf Cartel - Villareal faction,4486,4486,Gulf Cartel - Ramirez Treviño faction,4487,4487,Gulf Cartel - Villareal faction,5,"""BBC Monitoring Americas,2013-04-28,Mexican website views restructuring of organized crime groups"";""Borderland Beat,2013-03-11,Detonations And Blockades In Reynosa "";""The Monitor,2013-03-18,Gulf Cartel infighting reignites with Reynosa firefights "";""The Monitor,2013-03-11,'Four trucks filled with bodies' after Reynosa firefight "";""AP,2013-03-26,Drug war death tolls a guess without bodies""",BBC Monitoring Americas;Borderland Beat;The Monitor;The Monitor;AP,2013-04-28;2013-03-11;2013-03-18;2013-03-11;2013-03-26,Mexican website views restructuring of organized crime groups;Detonations And Blockades In Reynosa ;Gulf Cartel infighting reignites with Reynosa firefights ;'Four trucks filled with bodies' after Reynosa firefight ;Drug war death tolls a guess without bodies,director of Funerales /witnesses/social media/officials/Tamaulipas law enforcement official,1,Reynosa town,,Tamaulipas state,Reynosa municipality,26.080610,-98.288350,POINT (-98.288350 26.080610),167204,Mexico,70,Americas,1,1,03/10/2013 00:00:00,03/10/2013 00:00:00,0,0,2,33,35,50,2,
83876,,2013,True,Clear,2,12701,11940,Autodefensas Unidas de Michoacán - Los Caballeros Templarios,12701,12701,Autodefensas Unidas de Michoacán - Los Caballeros Templarios,4475,4475,Autodefensas Unidas de Michoacán,1150,1150,Los Caballeros Templarios,3,"""Reuters News,2013-04-29,Ten killed in battles between armed groups in Mexico -reports"";""Agence France Presse,2013-04-29,At least seven dead in Mexico clashes"";""EFE News Service,2013-04-29,10 Die in shootouts in western Mexico""",Reuters News;Agence France Presse;EFE News Service,2013-04-29;2013-04-29;2013-04-29,Ten killed in battles between armed groups in Mexico -reports;At least seven dead in Mexico clashes;10 Die in shootouts in western Mexico,local media /state government spokesman ,1,La Ruana town,,Michoacán state,Buenavista municipality,19.163250,-102.708340,POINT (-102.708340 19.163250),157115,Mexico,70,Americas,1,1,04/28/2013 00:00:00,04/28/2013 00:00:00,5,0,0,0,5,5,5,
83877,,2013,True,Clear,2,12701,11940,Autodefensas Unidas de Michoacán - Los Caballeros Templarios,12701,12701,Autodefensas Unidas de Michoacán - Los Caballeros Templarios,4475,4475,Autodefensas Unidas de Michoacán,1150,1150,Los Caballeros Templarios,2,"""Reuters News,2013-04-29,Ten killed in battles between armed groups in Mexico -reports"";""Agence France Presse,2013-04-29,At least seven dead in Mexico clashes""",Reuters News;Agence France Presse,2013-04-29;2013-04-29,Ten killed in battles between armed groups in Mexico -reports;At least seven dead in Mexico clashes,local media /state government spokesman ,1,Tepalcatepec town,,Michoacán state,Tepalcatepec municipality,19.186660,-102.849300,POINT (-102.849300 19.186660),157115,Mexico,70,Americas,1,1,04/28/2013 00:00:00,04/28/2013 00:00:00,5,0,0,0,5,5,5,
83886,,2013,True,Clear,2,12718,11955,La Mochomera - Sinaloa Cartel,12718,12718,La Mochomera - Sinaloa Cartel,4492,4492,La Mochomera,775,775,Sinaloa Cartel,2,"""Associated Press Newswires,2013-05-06,Mexico sees spate of killings over weekend, despite supposed drop in drug-related violence"";""Borderland Beat,2013-05-05,Violence Spirals Out of Control in Northern Sinaloa """,Associated Press Newswires;Borderland Beat,2013-05-06;2013-05-05,"Mexico sees spate of killings over weekend, despite supposed drop in drug-related violence;Violence Spirals Out of Control in Northern Sinaloa ",Sinaloa state prosecutors' office,2,Los Mochis town,,Sinaloa state,Ahome municipality,25.791163,-108.994630,POINT (-108.994630 25.791163),166463,Mexico,70,Americas,1,1,05/05/2013 00:00:00,05/05/2013 00:00:00,0,0,0,6,6,6,6,
83888,,2013,True,Clear,2,12718,11955,La Mochomera - Sinaloa Cartel,12718,12718,La Mochomera - Sinaloa Cartel,4492,4492,La Mochomera,775,775,Sinaloa Cartel,3,"""Associated Press Newswires,2013-05-06,Mexico sees spate of killings over weekend, despite supposed drop in drug-related violence"";""Borderland Beat,2013-05-05,Violence Spirals Out of Control in Northern Sinaloa "";""The South Asian Times,2013-04-22,Mexico: 6 bodies found""",Associated Press Newswires;Borderland Beat;The South Asian Times,2013-05-06;2013-05-05;2013-04-22,"Mexico sees spate of killings over weekend, despite supposed drop in drug-related violence;Violence Spirals Out of Control in Northern Sinaloa ;Mexico: 6 bodies found",State Attorney General ,5,Highway 15 in Ahome municipality,,Sinaloa state,Ahome municipality,26.061600,-109.025500,POINT (-109.025500 26.061600),167182,Mexico,70,Americas,1,2,04/19/2013 00:00:00,04/21/2013 00:00:00,0,0,0,6,6,6,6,
83891,,2013,True,Clear,2,5262,4652,Juarez Cartel - Sinaloa Cartel,5262,5262,Juarez Cartel - Sinaloa Cartel,793,793,Juarez Cartel,775,775,Sinaloa Cartel,1,"""Associated Press Newswires,2013-05-15,Suspects sought after 6 men executed with assault rifles at northern Mexico car lot""",Associated Press Newswires,2013-05-15,Suspects sought after 6 men executed with assault rifles at northern Mexico car lot,State prosecutors' spokesman ,1,Chihuahua town,,Chihuahua state,Chihuahua municipality,28.633333,-106.083333,POINT (-106.083333 28.633333),170788,Mexico,70,Americas,1,1,05/14/2013 00:00:00,05/14/2013 00:00:00,0,0,0,6,6,6,6,
