Year,EventRootCode,Articles_per_Event
1987,11,4.31389668770996
1987,12,4.4542756762288089
1987,13,4.539596066967845
1987,14,4.9893724696356276
1987,15,4.7146795313576844
1987,16,4.452239152293294
1987,17,4.20341836376815
1987,18,3.924683615186471
1987,19,4.4719135129900005
1987,20,4.3669064748201443
1988,01,4.2217222720564829
1988,02,4.7109131464830494
1988,03,4.6479509989791454
1988,04,4.4412985348629084
1988,05,4.42445574947663
1988,06,4.84317748091603
1988,07,4.8342306247652438
1988,08,4.2591724168732279
1988,09,4.2944526993561167
1988,10,4.4996393797331411
1988,11,4.3463587091951155
1988,12,4.5189645931204083
1988,13,4.5097659162069483
1988,14,4.8466285370258877
1988,15,4.5597973584222906
1988,16,4.45468902760021
1988,17,4.3087258895815985
1988,18,4.0149590742308776
1988,19,4.4302442666908028
1988,20,4.1083032490974727
1989,01,4.3483818437653161
1989,02,4.8446795096322246
1989,03,4.7302568821753619
1989,04,4.552444906005773
1989,05,4.5532384003508213
1989,06,4.9116313402931562
1989,07,4.8870997766195083
1989,08,4.4362769444720369
1989,09,4.51677615313979
1989,10,4.6271997842357226
1989,11,4.46648779732728
1989,12,4.6590502891186265
1989,13,4.650265430631487
1989,14,4.993819250772594
1989,15,4.9382196634189546
1989,16,4.4906324940047959
1989,17,4.4385589615188277
1989,18,4.2512496711391741
1989,19,4.5957744488411532
1989,20,4.3464285714285715
1990,01,4.2858055929437775
1990,02,4.7616261367998831
1990,03,4.6009617417036566
1990,04,4.4299586632102574
1990,05,4.4874330746555975
1990,06,4.7631388745482708
1990,07,4.6998290870066377
1990,08,4.4002172894209872
1990,09,4.453470862821864
1990,10,4.6224451678317946
1990,11,4.4598749564669395
1990,12,4.6689796050711712
1990,13,4.5678506375227688
1990,14,4.9554367201426022
1990,15,4.5841226883175459
1990,16,4.4996651038178168
1990,17,4.4899166799341934
1990,18,4.2069585667842571
1990,19,4.6796369927459249
1990,20,5.0682926829268293
1991,01,4.9682174673602022
1991,02,5.392778511668868
1991,03,5.1049026485919686
1991,04,4.93241351002948
1991,05,5.08904823877201
1991,06,5.1451754889577828
1991,07,5.4637832699619775
1991,08,5.41485994993151
1991,09,5.3638096275321283
1991,10,5.55859926574414
1991,11,5.2938638202438577
1991,12,5.4251392845438273
1991,13,5.51887041435735
1991,14,5.8610166986847938
1991,15,5.4628300609343263
1991,16,5.4335538858360435
1991,17,5.3542116150270243
1991,18,5.160565189466924
1991,19,5.6572974954447934
1991,20,5.1815980629539951
1992,01,4.3707131847665535
1992,02,4.9152809237058728
1992,03,4.7313254911233278
1992,04,4.48779488230322
1992,05,4.6114342642285564
1992,06,4.9675086948563063
1992,07,5.0377196071526393
1992,08,4.6724535794783728
1992,09,4.6542004293926169
1992,10,4.797411531510523
1992,11,4.4609650773172786
1992,12,4.7958926668604089
1992,13,4.8204962707974754
1992,14,5.0490814367973673
1992,15,4.9088074824629775
1992,16,4.7377355668561174
1992,17,4.6167223666295332
1992,18,4.4028589409332017
1992,19,4.64928034846285
1992,20,3.6773480662983427
1993,01,4.4465825164495767
1993,02,4.9849778871574948
1993,03,4.7714639360864179
1993,04,4.5763288938020708
1993,05,4.7211144095933752
1993,06,4.9484633977900554
1993,07,5.1327140242428424
1993,08,4.7484674329501919
1993,09,4.76027318640955
1993,10,4.9508595846169134
1993,11,4.6308029320077511
1993,12,4.7757144358058419
1993,13,4.840784647280846
1993,14,5.3971213904227389
1993,15,5.1240737821220241
1993,16,4.6998560844304675
1993,17,4.6894447701561246
1993,18,4.5719770741750594
1993,19,4.82980098999899
1993,20,3.8521424260712132
1994,01,4.290741376725018
1994,02,4.7351243190456582
1994,03,4.5707641834809465
1994,04,4.42521636651567
1994,05,4.574157791784395
1994,06,4.7379413388767988
1994,07,4.8128599626855584
1994,08,4.588042935218688
1994,09,4.6359256710254648
1994,10,4.6705241920134
1994,11,4.4909981564392938
1994,12,4.6293770656402966
1994,13,4.76255361141686
1994,14,5.0077614379084965
1994,15,4.8863352245408214
1994,16,4.5407645332698863
1994,17,4.4456796901210849
1994,18,4.4253199947577651
1994,19,4.7917007038476456
1994,20,4.4737335834896808
1995,01,3.8789407313997479
1995,02,4.2167937312656019
1995,03,4.0266542380994368
1995,04,3.9561599350517556
