id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
51820,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Four alleged militants killed during Pakistan's northwest district clash
20 May 2010
BBC Monitoring",,,,tribal sources,1,Ama Khel Village,,Khyber Pakhtunkwa Province,Tank District,32.383333,70.523333,POINT (70.523333 32.383333),176182,Pakistan,770,Asia,1,1,05/18/2010 00:00:00,05/18/2010 00:00:00,1,0,0,0,1,1,1,
51821,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) Militants kill pro-government elder and his family in northwestern Pakistan
27 May 2010
Associated Press Newswires

(2) SATP Pakistan datasheet",,,,,2,Thall Town,,Khyber Pakhtunkwa Province,Hangu District,33.363889,70.549444,POINT (70.549444 33.363889),177622,Pakistan,770,Asia,1,1,05/27/2010 00:00:00,05/27/2010 00:00:00,1,2,0,0,3,3,3,
51822,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,1,"""BBC Monitoring South Asia,2010-06-09,Six soldiers killed in clash in Pakistan's Orakzai Agency""",BBC Monitoring South Asia,2010-06-09,Six soldiers killed in clash in Pakistan's Orakzai Agency,official and tribal sources,2,Ghaljo Town,,Federally Administered Tribal Areas,Orakzai Agency,33.633873,70.853902,POINT (70.853902 33.633873),178342,Pakistan,770,Asia,1,1,06/08/2010 00:00:00,06/08/2010 00:00:00,6,0,0,0,6,6,6,
51824,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistan: ""key militant commander"" among six killed in Swat
27 June 2010
BBC Monitoring",,,,security officials,1,Ghaligai Town,,Khyber Pakhtunkwa Province,Swat District,34.699140,72.260118,POINT (72.260118 34.699140),179785,Pakistan,770,Asia,1,2,06/27/2010 00:00:00,06/28/2010 00:00:00,0,2,0,0,2,2,2,
51825,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistan: Three soldiers, 27 militants killed in South Waziristan clash
11 July 2010
BBC Monitoring",,,,official and tribal sources,1,Manza Town,,Federally Administered Tribal Areas,South Waziristan,32.651900,69.905600,POINT (69.905600 32.651900),176900,Pakistan,770,Asia,1,1,07/10/2010 00:00:00,07/10/2010 00:00:00,3,12,0,0,15,15,15,
51826,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) FACTBOX-Security developments in Pakistan, July 19
19 July 2010
Reuters News

(2) Around 42 militants killed in aerial strikes in Pakistan tribal areas
20 July 2010
BBC Monitoring",,,,,2,Dogar Town,,Federally Administered Tribal Areas,Kurram Agency,33.775278,70.501667,POINT (70.501667 33.775278),178342,Pakistan,770,Asia,1,1,07/19/2010 00:00:00,07/19/2010 00:00:00,0,22,0,0,22,22,22,
51827,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,3,Kurram Agency,,Federally Administered Tribal Areas,Kurram Agency,33.710172,70.340096,POINT (70.340096 33.710172),178341,Pakistan,770,Asia,1,1,07/29/2010 00:00:00,07/29/2010 00:00:00,0,12,0,0,12,12,12,
51828,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) Three soldiers, three militants killed in Pakistan tribal area violence
11 August 2010
BBC Monitoring

(2) SATP Pakistan datasheet",,,,Official sources,3,Mohmand Agency,,Federally Administered Tribal Areas,Mohmand Agency,34.463860,71.351161,POINT (71.351161 34.463860),179063,Pakistan,770,Asia,1,1,08/10/2010 00:00:00,08/10/2010 00:00:00,3,0,0,0,3,3,3,
51829,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Militants kill peace body activist in Pakistan's Peshawar - sources
25 August 2010
BBC Monitoring",,,,,3,FR Peshawar,,Federally Administered Tribal Areas,FR Peshawar,33.740965,71.745991,POINT (71.745991 33.740965),178344,Pakistan,770,Asia,1,1,08/24/2010 00:00:00,08/24/2010 00:00:00,1,0,0,0,1,1,1,
51830,,2010,True,Clear,2,5550,4940,Bangesh - Mangal,5550,5550,Bangesh - Mangal,790,790,Bangesh,797,797,Mangal,-1,"At least 12 killed in Kurram tribal clash
9 September 2010
Daily Messenger",,,,,2,Shalozan Town,,Federally Administered Tribal Areas,Kurram Agency,33.937522,69.917164,POINT (69.917164 33.937522),178340,Pakistan,770,Asia,1,1,09/09/2010 00:00:00,09/09/2010 00:00:00,0,0,0,12,12,12,12,
51831,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistan sources say two policemen, 14 militants killed in Peshawar operation
21 September 2010
BBC Monitoring",,,,,2,Pastawane Town,,Federally Administered Tribal Areas,FR Peshawar,33.701991,71.755440,POINT (71.755440 33.701991),178344,Pakistan,770,Asia,1,1,09/20/2010 00:00:00,09/20/2010 00:00:00,0,7,0,0,7,7,7,
51832,,2010,True,Clear,2,5550,4940,Bangesh - Mangal,5550,5550,Bangesh - Mangal,790,790,Bangesh,797,797,Mangal,-1,"Report says three killed in Pakistan's Kurram Agency rocket attack
5 October 2010
BBC Monitoring",,,,,2,Shalozan Town,,Federally Administered Tribal Areas,Kurram Agency,33.937522,69.917164,POINT (69.917164 33.937522),178340,Pakistan,770,Asia,1,1,10/04/2010 00:00:00,10/04/2010 00:00:00,3,0,0,0,3,3,3,
51833,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"FACTBOX-Security developments in Pakistan, Oct 14
14 October 2010
Reuters News",,,,,1,Peshawar Town,,Khyber Pakhtunkwa Province,Peshawar District,34.016667,71.583333,POINT (71.583333 34.016667),179064,Pakistan,770,Asia,1,1,10/14/2010 00:00:00,10/14/2010 00:00:00,0,1,0,0,1,1,1,
51834,,2010,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) Militants kill two tribal elders in Pakistan's Kurram area
1 November 2010
BBC Monitoring

(2) SATP",,,,,3,Kurram Agency,,Federally Administered Tribal Areas,Kurram Agency,33.710172,70.340096,POINT (70.340096 33.710172),178341,Pakistan,770,Asia,1,1,10/31/2010 00:00:00,10/31/2010 00:00:00,3,0,0,0,3,3,3,
51839,,2011,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP,,,,,2,Prang Ghar village,,Federally Administered Tribal Areas,Mohmand Agency,34.417338,71.636545,POINT (71.636545 34.417338),179064,Pakistan,770,Asia,1,1,02/11/2011 00:00:00,02/11/2011 00:00:00,1,1,0,0,2,2,2,
51843,,2011,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP,,,,,3,Orakzai Agency,,Federally Administered Tribal Areas,Orakzai Agency,33.707767,71.002380,POINT (71.002380 33.707767),178343,Pakistan,770,Asia,1,1,10/15/2011 00:00:00,10/15/2011 00:00:00,0,10,0,0,10,10,10,
51845,,2011,True,Clear,3,388,540,LeJ - Civilians,388,1007,LeJ - Civilians,388,388,LeJ,9999,1,Civilians,-1,satp,,,,,1,Quetta Town,,Balochistan Province,Quetta District,30.183333,67.000000,POINT (67.000000 30.183333),173295,Pakistan,770,Asia,1,1,11/29/2011 00:00:00,11/29/2011 00:00:00,0,0,0,0,0,1,0,
51847,,2012,True,Clear,1,404,404,Pakistan:Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"BBC M SA 2/1 2012 ""Pakistan security personnel killed in Balochistan landmine explosion",,,,Daily Times (Pakistani newspaper),2,Sui Town,,Balochistan Province,Dera Bugti District,25.648076,62.049546,POINT (62.049546 25.648076),166805,Pakistan,770,Asia,1,1,01/01/2012 00:00:00,01/01/2012 00:00:00,4,0,0,0,4,4,4,
